input excitatory true 0.67
0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.00 0.00 0.50 0.50 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.50 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.50 0.00 0.00 0.00 0.50 0.50 0.00 0.50 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.50 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.50 0.00
0.50 0.50 0.00 0.50 0.50 0.00 0.50 0.00 0.50 0.00 0.50 0.00 0.00 0.00 0.50 0.50 0.50 0.00 0.50 0.00 0.00 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.00 0.00 0.50 0.50 0.00 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.00 0.00 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.00 0.00 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.00 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.50
0.00 0.00 0.00 0.00 0.00 0.00 0.50 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.00 0.50 0.00 0.50 0.00 0.00 0.00 0.50 0.00 0.50 0.00 0.00 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.00 0.00 0.50 0.00 0.00 0.00 0.50 0.50 0.00 0.50 0.00 0.00 0.50 0.50 0.50 0.00 0.50 0.00 0.00 0.00 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.00 0.50 0.50 0.00 0.50 0.00 0.50 0.00 0.00 0.50 0.50 0.50 0.00 0.00 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.00
0.00 0.50 0.00 0.00 0.00 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.00 0.50 0.50 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.50 0.50 0.00 0.50 0.00 0.00 0.00 0.00 0.50 0.50 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.50 0.00 0.00 0.00 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.50 0.00 0.50 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00
0.00 0.00 0.00 0.00 0.50 0.50 0.00 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.00 0.00 0.00 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.00 0.00 0.00 0.00 0.50 0.00 0.50 0.50 0.00 0.50 0.50 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.00 0.50 0.50 0.50 0.00 0.00 0.50 0.50 0.00 0.50 0.50 0.00 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.00 0.00 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.00 0.00 0.50 0.50 0.50 0.00 0.00 0.00 0.50 0.50 0.50 0.00 0.50 0.00 0.00 0.00 0.00 0.50 0.00 0.00 0.50 0.00 0.00 0.50
0.50 0.50 0.00 0.50 0.00 0.00 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.00 0.50 0.50 0.50 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.50 0.50 0.50 0.50 0.00 0.00 0.00 0.00 0.50 0.00 0.00 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.50 0.00 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.00 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.00 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.00 0.50
0.00 0.00 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.00 0.00 0.00 0.50 0.50 0.00 0.00 0.00 0.50 0.00 0.00 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.00 0.50 0.00 0.00 0.00 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.00 0.50 0.00 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.00 0.50 0.50 0.00 0.00 0.00 0.00 0.00 0.50 0.50 0.00 0.00 0.00 0.00 0.00 0.50 0.50 0.00 0.50 0.00 0.00 0.00 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.00 0.50 0.00 0.00 0.50
0.50 0.00 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.50 0.00 0.50 0.00 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.00 0.00 0.50 0.50 0.50 0.00 0.50 0.00 0.00 0.50 0.00 0.50 0.50 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.50 0.50 0.50 0.00 0.00 0.00 0.50 0.50 0.50 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.00 0.00 0.50 0.50 0.50 0.00 0.00 0.50 0.00 0.00 0.50 0.50 0.00 0.50 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.50
0.00 0.00 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.50 0.00 0.00 0.00 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.50 0.00 0.00 0.00 0.50 0.00 0.50 0.50 0.00 0.50 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.50 0.50 0.00 0.50 0.50 0.00 0.00 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.50 0.50 0.00 0.50 0.00 0.50 0.00 0.50 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.00 0.00 0.50 0.00 0.50 0.50 0.00
0.50 0.50 0.50 0.00 0.50 0.50 0.00 0.50 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.00 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.50 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.00 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.50 0.50 0.00 0.00 0.00 0.50 0.00 0.00 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.00 0.50 0.00 0.50 0.50 0.50 0.00 0.00 0.00 0.00 0.50 0.50 0.00 0.50 0.50 0.50 0.50 0.00 0.00 0.00 0.00 0.00 0.00 0.50 0.50 0.50 0.00 0.50 0.00
